No,邦題,原題,公開年,評価,殿堂入り,鑑賞日,鑑賞場所,上映方式,ジャンル,監督,主要キャスト
39,劇場版 機動戦士ガンダム00 -A wakening of the Trailblazer-,Mobile Suit Gundam 00: A Wakening of the Trailblazer,2010年,7,False,,,,アクション、アニメーション、ドラマ、サイエンスフィクション、戦争,水島精二,宮野真守、三木眞一郎
40,機動戦士ガンダムF91,Mobile Suit Gundam F91,1991年,7,False,,,,アニメーション、サイエンスフィクション,富野由悠季,辻谷耕史、冬馬由美
41,犬鳴村,HOWLING VILLAGE,2020年,1,False,,,,ホラー、謎,清水崇,三吉彩花、坂東龍汰
42,エルカミーノ: ブレイキング・バッド THE MOVIE,El Camino: A Breaking Bad Movie,2019年,7,False,,,,犯罪、ドラマ、スリラー,ヴィンス・ギリガン,アーロン・ポール、ジェシー・プレモンス
43,ジャンゴ 繋がれざる者,Django Unchained,2012年,8,False,,,,ドラマ、西洋,クエンティン・タランティーノ,ジェイミー・フォックス、クリストフ・ヴァルツ
44,ワンス・アポン・ア・タイム・イン・ハリウッド,Once Upon a Time in Hollywood,2019年,7,False,,,,コメディ、ドラマ、スリラー,クエンティン・タランティーノ,レオナルド・ディカプリオ、ブラッド・ピット
45,ヘイトフル・エイト,The Hateful Eight,2015年,7,False,,,,ドラマ、謎、西洋,クエンティン・タランティーノ,サミュエル・Ｌ・ジャクソン、カート・ラッセル
46,イングロリアス・バスターズ,Inglourious Basterds,2009年,8,False,,,,ドラマ、スリラー、戦争,クエンティン・タランティーノ,ブラッド・ピット、メラニー・ロラン
47,レザボア・ドッグス,Reservoir Dogs,1992年,6,False,,,,犯罪、スリラー,クエンティン・タランティーノ,ハーヴェイ・カイテル、ティム・ロス
48,インセプション,Inception,2010年,8,False,,,,アクション、サイエンスフィクション、アドベンチャー,クリストファー・ノーラン,レオナルド・ディカプリオ、ジョセフ・ゴードン＝レヴィット
49,インソムニア,Insomnia,2002年,5,False,,,,スリラー、犯罪、ドラマ,クリストファー・ノーラン,アル・パチーノ、ロビン・ウィリアムズ
50,プレステージ,The Prestige,2006年,8,False,,,,ドラマ、謎、サイエンスフィクション,クリストファー・ノーラン,ヒュー・ジャックマン、クリスチャン・ベール
51,ダンケルク,Dunkirk,2017年,8,False,,109シネマズ大阪エキスポシティ,字幕IMAXレーザーGT,戦争、アクション、ドラマ,クリストファー・ノーラン,フィオン・ホワイトヘッド、トム・ハーディ
52,TENET テネット,Tenet,2020年,8,False,,,,アクション、スリラー、サイエンスフィクション,クリストファー・ノーラン,ジョン・デヴィッド・ワシントン、ロバート・パティンソン
53,オッペンハイマー,Oppenheimer,2023年,8,False,2024/04/13,,,ドラマ、履歴,クリストファー・ノーラン,キリアン・マーフィー、エミリー・ブラント
54,マッドバウンド哀しき友情,Mudbound,2017年,9,False,,,,ドラマ,Dee Rees,キャリー・マリガン、ジェイソン・クラーク
55,バットマン ビギンズ,Batman Begins,2005年,6,False,,,,ドラマ、犯罪、アクション,クリストファー・ノーラン,クリスチャン・ベール、マイケル・ケイン
56,ダークナイト,The Dark Knight,2008年,10,True,,,,アクション、犯罪、スリラー,クリストファー・ノーラン,クリスチャン・ベール、ヒース・レジャー
57,ダークナイト ライジング,The Dark Knight Rises,2012年,7,False,,,,アクション、犯罪、ドラマ、スリラー,クリストファー・ノーラン,クリスチャン・ベール、ゲイリー・オールドマン
58,機動戦士ガンダム 閃光のハサウェイ,Mobile Suit Gundam Hathaway,2021年,7,False,,,,アニメーション、アクション、ドラマ、サイエンスフィクション,村瀬修功,小野賢章、上田麗奈
59,機動戦士ガンダム 逆襲のシャア,Mobile Suit Gundam: Char's Counterattack,1988年,7,False,,,,アニメーション、アクション、サイエンスフィクション,富野由悠季,古谷徹、池田秀一
60,機動戦士ガンダムNT,Mobile Suit Gundam Narrative,2018年,6,False,,,,アニメーション、サイエンスフィクション、アクション,吉沢俊一,榎木淳弥、村中知
61,パルプ・フィクション,Pulp Fiction,1994年,6,False,,,,スリラー、犯罪、コメディ,クエンティン・タランティーノ,ジョン・トラボルタ、サミュエル・Ｌ・ジャクソン
62,クローバーフィールド・パラドックス,God Particle/The Cloverfield Paradox,2018年,1,False,,,,ホラー、スリラー、サイエンスフィクション,ジュリアス・オナー,Gugu Mbatha-Raw、ダニエル・ブリュール
63,クローバーフィールド/HAKAISHA,Cloverfield,2008年,6,False,,,,アクション、スリラー、サイエンスフィクション,マット・リーヴス,リジー・キャプラン、Jessica Lucas
64,ミッキー17,Mickey 17,2024年,4,False,2025/04/21,,,サイエンスフィクション、コメディ、アドベンチャー,ポン・ジュノ,ロバート・パティンソン、ナオミ・アッキー
65,パラサイト 半地下の家族,Parasite,2019年,6,False,,,,コメディ、スリラー、ドラマ,Nicolas Alvo,Maddie Moore、Ryan Foor
66,ミッション:インポッシブル,Mission: Impossible,1996年,6,False,,,,アドベンチャー、アクション、スリラー,ブライアン・デ・パルマ,トム・クルーズ、ジョン・ヴォイト
67,ミッション:インポッシブル2,Mission: Impossible II,2000年,4,False,,,,アドベンチャー、アクション、スリラー,ジョン・ウー,トム・クルーズ、ダグレイ・スコット
68,ミッション:インポッシブル3,Mission: Impossible III,2006年,6,False,,,,アドベンチャー、アクション、スリラー,J・J・エイブラムス,トム・クルーズ、フィリップ・シーモア・ホフマン
69,ミッション:インポッシブル/ゴースト・プロトコル,Mission: Impossible - Ghost Protocol,2011年,8,False,,,,アクション、スリラー、アドベンチャー,ブラッド・バード,トム・クルーズ、Paula Patton
70,ミッション:インポッシブルローグ・ネイション,Mission: Impossible - Rogue Nation,2015年,8,False,,,,,クリストファー・マッカリー,トム・クルーズ、ジェレミー・レナー
71,ミッション:インポッシブル/フォールアウト,MISSION: IMPOSSIBLE -FALLOUT,2018年,8,False,,,,アクション、アドベンチャー,クリストファー・マッカリー,トム・クルーズ、ヘンリー・カヴィル
72,ミッション:インポッシブル/デONEッドレコニング PART,Mission: Impossible - Dead Reckoning - Part One,2023年,8,False,,,,,クリストファー・マッカリー,トム・クルーズ、ヘイリー・アトウェル
73,ナイブズ・アウト/名探偵と刃の館の秘密,Knives Out,2019年,8,False,,,,コメディ、犯罪、謎,ライアン・ジョンソン,ダニエル・クレイグ、クリス・エヴァンス
74,ナイブズ・アウト:グラス・オニオン,Glass Onion: A Knives Out Mystery,2022年,8,False,,,,コメディ、犯罪、謎,ライアン・ジョンソン,ダニエル・クレイグ、エドワード・ノートン
75,最後の追跡,Hell or High Water,2016年,9,False,,,,西洋、犯罪、ドラマ,David Mackenzie,ジェフ・ブリッジス、クリス・パイン
76,レディ・プレイヤー1,Ready Player One,2018年,6,False,,,,アドベンチャー、アクション、サイエンスフィクション,スティーヴン・スピルバーグ,タイ・シェリダン、オリヴィア・クック
77,ロスト・シティZ 失われた黄金都市,The Lost City of Z,2018年,6,False,,,,アドベンチャー、ドラマ、履歴,ジェームズ・グレイ,チャーリー・ハナム、ロバート・パティンソン
78,ノーカントリー,No Country for Old Men,2008年,8,False,,,,犯罪、スリラー、西洋,Kevin Gill,ジョエル・コーエン、イーサン・コーエン
79,アイアンマン,Iron Man,2008年,8,False,,,,アクション、サイエンスフィクション、アドベンチャー,ジョン・ファヴロー,ロバート・ダウニー・Jr、Terrence Howard
80,アイアンマン2,Iron Man 2,2010年,6,False,,,,アドベンチャー、アクション、サイエンスフィクション,ジョン・ファヴロー,ロバート・ダウニー・Jr、グウィネス・パルトロー
81,アイアンマン3,Iron Man 3,2013年,6,False,,,,アクション、アドベンチャー、サイエンスフィクション,シェーン・ブラック,ロバート・ダウニー・Jr、グウィネス・パルトロー
82,キック・アス,Kick-Ass,2010年,8,False,,,,アクション、犯罪,マシュー・ヴォーン,アーロン・テイラー＝ジョンソン、クロエ・グレース・モレッツ
83,キック・アス ジャスティス・フォーエバー,Kick-Ass 2,2014年,4,False,,,,アクション、アドベンチャー、犯罪,Jeff Wadlow,アーロン・テイラー＝ジョンソン、クロエ・グレース・モレッツ
84,キャプテン・アメリカ ウィンター・ソルジャー,Captain America: The Winter Soldier,2014年,6,False,,,,アクション、アドベンチャー、サイエンスフィクション,ジョー・ルッソ,クリス・エヴァンス、サミュエル・Ｌ・ジャクソン
85,キャプテン・アメリカザ・ファースト・アベンジャー,Captain America: The First Avenger,2011年,8,False,,,,,Joe Johnston,クリス・エヴァンス、ヘイリー・アトウェル
86,シビル・ウォー/キャプテン・アメリカ,Captain America: Civil War,2016年,6,False,,,,アドベンチャー、アクション、サイエンスフィクション,ジョー・ルッソ,クリス・エヴァンス、ロバート・ダウニー・Jr
87,アベンジャーズ/エイジ・オブ・ウルトロン,The Avengers: Age of Ultron,2015年,6,False,,,,アクション、アドベンチャー、サイエンスフィクション,ジョス・ウェドン,ロバート・ダウニー・Jr、クリス・ヘムズワース
88,アベンジャーズ/インフィニティ・ウォー,Avengers: Infinity War,2018年,6,False,,,,アドベンチャー、アクション、サイエンスフィクション,ジョー・ルッソ,ロバート・ダウニー・Jr、クリス・エヴァンス
89,アベンジャーズ/エンドゲーム,Avengers: Endgame,2019年,6,False,,,,アドベンチャー、サイエンスフィクション、アクション,ジョー・ルッソ,ロバート・ダウニー・Jr、クリス・エヴァンス
90,アベンジャーズ,The Avengers,2012年,6,False,,,,サイエンスフィクション、アクション、アドベンチャー,ジョス・ウェドン,ロバート・ダウニー・Jr、クリス・エヴァンス
91,アントマン,Ant-Man,2015年,6,False,,,,サイエンスフィクション、アドベンチャー、アクション,Peyton Reed,ポール・ラッド、マイケル・ダグラス
92,ソーシャル・ネットワーク,The Social Network,2010年,6,False,,,,ドラマ,デヴィッド・フィンチャー,ジェシー・アイゼンバーグ、アンドリュー・ガーフィールド
93,マイティ・ソー バトルロイヤル,Thor: Ragnarok,2017年,7,False,,,,アクション、アドベンチャー、サイエンスフィクション、コメディ,タイカ・ワイティティ,クリス・ヘムズワース、マーク・ラファロ
